temp (K),norm (1e44 cm^-5)
350946.0,0.0
428001.0,2.1319E-19
521976.0,1.73243E-18
636591.0,3.55505E-19
776363.0,8.22765E-19
946827.0,1.75073E-18
1154730.0,4.6971E-18
1408290.0,8.24775E-18
1717490.0,9.0759E-18
2094600.0,6.35945E-18
2554530.0,3.96618E-18
3115410.0,2.09675E-18
3799450.0,1.03238E-18
4633730.0,5.34101E-19
5651130.0,3.6561E-19
6891930.0,2.76352E-19
8405250.0,1.76608E-19
1.02507E7,8.73192E-20
1.25015E7,4.33434E-20
1.52465E7,2.2615E-20
1.85941E7,1.42448E-20
2.26767E7,6.87705E-21
2.76561E7,9.49605E-21
3.37288E7,6.51866E-21
4.11344E7,7.31482E-21
5.01661E7,4.50928E-21
6.11816E7,3.62405E-21
7.46148E7,1.50729E-21
9.09978E7,6.86856E-22
