temp (K),norm (1e44 cm^-5)
350946.0,0.0
428001.0,9.48757E-20
521976.0,9.9671E-20
636591.0,6.39128E-19
776363.0,1.98779E-18
946827.0,3.08209E-18
1154730.0,3.3922E-18
1408290.0,2.53722E-18
1717490.0,1.14433E-18
2094600.0,3.04056E-19
2554530.0,8.7032E-20
3115410.0,3.3886E-20
3799450.0,1.38879E-20
4633730.0,7.75244E-21
5651130.0,6.33665E-21
6891930.0,4.71829E-21
8405250.0,3.65145E-21
1.02507E7,1.91369E-21
1.25015E7,1.13159E-21
1.52465E7,7.75869E-22
1.85941E7,4.26928E-22
2.26767E7,2.43456E-22
2.76561E7,2.45182E-22
3.37288E7,2.1568E-22
4.11344E7,1.21929E-22
5.01661E7,1.35869E-22
6.11816E7,9.1543E-23
7.46148E7,2.66928E-22
9.09978E7,6.81118E-23
