temp (K),norm (1e44 cm^-5)
350946.0,0.0
428001.0,0.0
521976.0,0.0
636591.0,0.0
776363.0,0.0
946827.0,0.0
1154730.0,0.0
1408290.0,0.0
1717490.0,0.0
2094600.0,0.0
2554530.0,0.0
3115410.0,0.0
3799450.0,0.0
4633730.0,2.85408E-14
5651130.0,5.23767E-13
6891930.0,3.72444E-13
8405250.0,9.12523E-13
1.02507E7,2.5294E-12
1.25015E7,1.88638E-12
1.52465E7,7.46812E-13
1.85941E7,3.55459E-14
2.26767E7,8.18436E-15
2.76561E7,2.63696E-14
3.37288E7,0.0
4.11344E7,0.0
5.01661E7,0.0
6.11816E7,0.0
7.46148E7,4.87428E-15
9.09978E7,0.0
