temp (K),norm (1e44 cm^-5)
350946.0,0.0
428001.0,0.0
521976.0,0.0
636591.0,0.0
776363.0,0.0
946827.0,0.0
1154730.0,0.0
1408290.0,0.0
1717490.0,0.0
2094600.0,0.0
2554530.0,0.0
3115410.0,0.0
3799450.0,0.0
4633730.0,4.23608E-14
5651130.0,6.57571E-13
6891930.0,9.09747E-12
8405250.0,1.79293E-11
1.02507E7,1.45523E-11
1.25015E7,1.4872E-11
1.52465E7,1.2452E-11
1.85941E7,5.64174E-12
2.26767E7,9.51797E-13
2.76561E7,2.37078E-13
3.37288E7,5.3594E-14
4.11344E7,0.0
5.01661E7,0.0
6.11816E7,0.0
7.46148E7,0.0
9.09978E7,0.0
