temp (K),norm (1e44 cm^-5)
350946.0,0.0
428001.0,0.0
521976.0,0.0
636591.0,0.0
776363.0,0.0
946827.0,0.0
1154730.0,0.0
1408290.0,0.0
1717490.0,0.0
2094600.0,0.0
2554530.0,0.0
3115410.0,0.0
3799450.0,0.0
4633730.0,0.0
5651130.0,7.44704E-14
6891930.0,8.68665E-13
8405250.0,6.8931E-12
1.02507E7,1.73836E-11
1.25015E7,1.54135E-10
1.52465E7,1.86261E-10
1.85941E7,1.35597E-10
2.26767E7,1.24124E-10
2.76561E7,5.30873E-11
3.37288E7,2.82631E-11
4.11344E7,1.29259E-11
5.01661E7,6.17904E-12
6.11816E7,3.87893E-12
7.46148E7,3.09471E-12
9.09978E7,1.5374E-12
