temp (K),norm (1e44 cm^-5)
350946.0,0.0
428001.0,0.0
521976.0,0.0
636591.0,0.0
776363.0,0.0
946827.0,0.0
1154730.0,0.0
1408290.0,0.0
1717490.0,0.0
2094600.0,0.0
2554530.0,0.0
3115410.0,0.0
3799450.0,1.8564214113787234e-19
4633730.0,8.417014853656825e-18
5651130.0,7.040301593257139e-17
6891930.0,2.462278309578161e-16
8405250.0,5.298880157169396e-16
10250700.0,5.701755614848774e-16
12501500.0,6.245595802823738e-16
15246500.0,2.6459152945409716e-16
18594100.0,5.21134991678559e-17
22676700.0,1.4934497266199717e-17
27656100.0,4.237329616253224e-18
33728800.0,1.1758293658690227e-18
41134400.0,6.299801893120041e-19
50166100.0,1.5521482098723027e-19
61181600.0,8.187559600702078e-20
74614800.0,6.479490499493103e-20
90997800.0,6.903621143315001e-20
