temp (K),norm (1e44 cm^-5)
350946.0,0.0
428001.0,0.0
521976.0,0.0
636591.0,0.0
776363.0,0.0
946827.0,0.0
1154730.0,0.0
1408290.0,7.20208E-18
1717490.0,3.88931E-17
2094600.0,8.07618E-17
2554530.0,1.01453E-16
3115410.0,1.03416E-16
3799450.0,9.23754E-17
4633730.0,6.0179E-17
5651130.0,4.68295E-17
6891930.0,2.84573E-17
8405250.0,1.03131E-17
1.02507E7,3.75209E-18
1.25015E7,1.16781E-18
1.52465E7,9.3126E-19
1.85941E7,3.43573E-19
2.26767E7,2.30271E-19
2.76561E7,4.7429E-19
3.37288E7,2.63347E-19
4.11344E7,3.35668E-19
5.01661E7,0.0
6.11816E7,0.0
7.46148E7,1.69221E-19
9.09978E7,0.0
