,JD,cts/sec
0,2459638.550131018,6977.44482421875
1,2459640.5795518463,9534.576171875
2,2459640.5983670093,12643.814453125
3,2459642.5279747457,35067.953125
4,2459643.715973278,16283.2744140625
5,2459643.9096911545,17098.998046875
6,2459644.348442696,56805.203125
7,2459644.577400924,14480.23828125
8,2459644.598959139,27110.166015625
9,2459646.4511107556,41533.88671875
10,2459646.6326358137,40460.02734375
11,2459649.366846807,62996.01953125
12,2459654.437344451,20961.310546875
13,2459654.477934667,61852.6640625
14,2459654.5027968585,35138.60546875
15,2459660.5619094097,17615.39453125
16,2459660.9629787486,29099.619140625
17,2459661.026618671,108747.640625
18,2459661.35004899,66888.5390625
19,2459661.458228978,16050.2138671875
20,2459661.46079759,15578.4765625
21,2459661.5083194273,18009.3515625
22,2459661.880739272,48299.609375
23,2459661.985849475,27462.837890625
24,2459662.0631741434,25705.609375
25,2459662.108431612,32951.12890625
26,2459662.1822842695,27666.900390625
27,2459662.538821527,59765.171875
28,2459662.5928068566,48489.61328125
29,2459662.8812711616,28410.1875
30,2459663.5753707704,17280.380859375
31,2459663.6075239796,26658.36328125
32,2459663.704774123,15872.6533203125
33,2459666.6673733788,26739.67578125
34,2459666.7186654406,33400.734375
35,2459666.9154859637,50742.5390625
36,2459666.916788657,46217.375
37,2459667.0147487074,89165.0625
38,2459667.5770464577,124884.078125
39,2459667.66317155,75500.9765625
40,2459667.8634226522,61160.91015625
41,2459667.893006613,100980.4609375
42,2459667.937750579,84087.578125
43,2459667.978097192,50273.58984375
44,2459668.0191054903,47542.22265625
45,2459668.0637471853,39381.9921875
46,2459668.1035385453,56039.31640625
47,2459668.1438273797,61113.61328125
48,2459668.406248856,57931.66796875
49,2459668.8733475734,29334.791015625
50,2459668.893560871,29410.982421875
51,2459668.9382809005,39973.2265625
52,2459668.9790128204,56331.51171875
53,2459669.0216527125,72408.546875
54,2459669.0612288713,48744.40234375
55,2459669.1086320505,46087.2109375
56,2459669.1429876653,45827.25
57,2459669.1783543266,46167.48046875
58,2459670.2623554403,63104.02734375
59,2459670.2978790975,154376.015625
60,2459670.3463866757,69954.96875
61,2459670.6401379593,53262.22265625
62,2459670.740144897,47223.2890625
63,2459670.7837834717,88527.7578125
64,2459671.67986668,34274.4375
65,2459671.869149256,60607.3515625
66,2459671.8953477605,44440.78515625
67,2459672.0531769013,91413.734375
68,2459672.25560734,98237.8984375
69,2459672.7297588997,28432.87109375
70,2459673.0750405397,55414.53515625
71,2459674.987133241,23332.1328125
72,2459675.9875047766,36115.9296875
73,2459676.9513186696,15946.0703125
74,2459680.484249603,11491.474609375
75,2459680.896068522,10780.306640625
76,2459687.3469450707,61665.125
77,2459687.451342714,88057.46875
78,2459687.908947035,45094.44921875
79,2459687.9245806052,71645.734375
80,2459688.233934861,119182.6015625
81,2459688.5487996372,30860.537109375
82,2459688.6613940103,42022.22265625
83,2459688.6831396585,69185.375
84,2459689.0570631004,41817.15625
85,2459689.556017238,144302.734375
86,2459689.5866225846,92016.109375
87,2459689.643882002,52430.328125
88,2459689.7040976095,44695.84765625
89,2459689.711393425,43746.8671875
90,2459689.913839978,87941.1796875
91,2459689.936521656,75161.3984375
92,2459689.962968073,48323.1796875
93,2459690.020647218,94542.8359375
94,2459690.0527730472,73932.046875
95,2459690.104350484,53715.92578125
96,2459690.1481297542,57971.01953125
97,2459690.186952599,59101.6640625
98,2459690.228290633,74876.34375
99,2459690.2601991347,121925.6328125
100,2459690.3002858213,82015.4296875
101,2459690.5971200643,118516.4765625
102,2459690.6928008436,98546.8125
103,2459690.7231456335,98636.2421875
104,2459690.770899896,81082.328125
105,2459691.2894285778,49417.0390625
106,2459691.2972813845,45340.28515625
107,2459691.373433564,36008.62890625
108,2459691.377161588,67977.1640625
109,2459691.488613191,38274.58984375
110,2459691.5398922106,34842.55078125
111,2459691.5580718084,34450.72265625
112,2459692.1372603774,44083.7578125
113,2459692.286225227,35339.67578125
114,2459692.3106925692,35553.15625
115,2459692.3396420404,33687.6796875
116,2459693.8905688166,36038.4296875
117,2459693.9388297675,51391.43359375
118,2459693.958542778,53842.6796875
119,2459694.1587625416,31011.8359375
120,2459694.1932800636,33717.765625
121,2459694.222573337,32828.7109375
122,2459694.273639519,37195.6171875
123,2459694.313579923,35635.125
124,2459694.344648495,35365.69140625
125,2459694.5262208427,40849.01953125
126,2459694.5466628554,39213.4453125
127,2459694.5961764175,156455.71875
128,2459694.657192628,66689.953125
129,2459694.6712820404,117408.9453125
130,2459694.738835549,39278.6328125
131,2459694.7620530864,68506.21875
132,2459694.855094989,29957.814453125
133,2459695.123786529,28773.13671875
134,2459695.1425408744,27741.671875
135,2459695.1924881414,57657.7109375
136,2459695.2222383013,46629.2421875
137,2459695.272965549,38332.94140625
138,2459695.3242135444,31874.06640625
139,2459695.3445994062,33646.49609375
140,2459695.389715459,94950.203125
141,2459698.7824384514,40544.37109375
142,2459698.821213632,101455.296875
143,2459699.744572937,83678.6796875
144,2459699.757116781,54141.828125
145,2459699.819693415,85628.6796875
146,2459699.8414329262,66659.34375
147,2459700.3111381996,69045.390625
148,2459702.6665913775,20787.158203125
149,2459702.672304043,20653.443359375
150,2459702.8510330333,43070.61328125
151,2459703.680206441,24289.775390625
152,2459703.8100126237,21256.9921875
153,2459703.861209066,52042.65234375
154,2459703.9049839973,95003.1015625
155,2459705.070789126,68589.5546875
156,2459705.1056284,84445.0234375
157,2459710.0891813147,155105.375
158,2459713.509365256,42238.19140625
159,2459717.4973149667,68582.640625
160,2459717.500441442,71687.1328125
161,2459718.520168947,65292.1875
162,2459723.5166221727,43256.703125
163,2459726.149609457,26524.669921875
164,2459726.3535511466,31699.62890625
165,2459726.4140700055,28984.798828125
166,2459726.421790579,28306.890625
167,2459760.0309124137,6654.66943359375
168,2459762.573379953,7165.1279296875
169,2459765.0552020003,15715.3349609375
170,2459765.6639150465,92100.640625
171,2459765.668205769,123069.875
172,2459765.994276566,27868.41796875
173,2459766.001102508,27806.306640625
174,2459767.863477583,18970.666015625
175,2459768.491908588,25151.94140625
176,2459768.5230003563,22502.412109375
177,2459768.5558402585,36282.0546875
178,2459770.092128977,71754.203125
179,2459771.5933351996,75302.390625
180,2459771.80727883,81005.328125
181,2459773.9809235395,40985.85546875
182,2459774.4998680437,38661.6328125
183,2459774.5030225045,36875.296875
184,2459776.7764587817,87157.6953125
185,2459777.143491759,51551.0
186,2459778.021589234,93780.8671875
187,2459780.517040683,46848.0078125
188,2459787.101950031,8299.3623046875
189,2459787.146465156,78966.8046875
190,2459788.2831416638,8206.1416015625
191,2459796.744204209,18349.234375
192,2459797.1864413708,14289.2392578125
193,2459799.227155145,18342.67578125
194,2459802.536728303,80789.046875
195,2459807.0365015906,71556.25
196,2459807.0423806948,56155.2890625
197,2459807.184341078,41910.02734375
198,2459807.230107437,66873.4296875
199,2459807.2508379705,35402.90234375
200,2459808.3635395397,30614.4453125
201,2459808.407714425,82754.203125
202,2459808.4170815246,62943.73046875
203,2459809.071524277,64326.0859375
204,2459809.08682489,62292.1484375
205,2459809.9341804003,61527.26953125
206,2459809.990701593,110885.21875
207,2459810.082965357,30928.173828125
208,2459810.0873264535,46509.33984375
209,2459810.665746409,23185.42578125
210,2459810.678482757,37745.91015625
211,2459810.7303426764,112494.46875
212,2459810.752961374,61859.34375
213,2459841.374767475,40262.0703125
214,2459841.39575168,45432.5703125
215,2459841.417199973,68918.140625
216,2459841.5435453146,128220.828125
217,2459841.601804833,87656.25
218,2459842.5153266736,49962.83203125
219,2459843.011415922,43065.9296875
220,2459843.4844673,43498.30078125
221,2459843.519890814,45450.015625
222,2459843.5485564778,45415.8125
223,2459843.6854025503,43403.05078125
224,2459843.8011333426,129117.8828125
225,2459844.145801126,38906.671875
226,2459844.1674675625,38256.40234375
227,2459844.493441694,40756.7265625
228,2459844.5013097753,36979.72265625
229,2459845.986614654,68085.015625
230,2459846.5405527637,60733.640625
231,2459846.546493966,62614.26171875
232,2459847.040754822,74076.59375
233,2459847.046305235,81761.296875
234,2459847.5363399987,40827.37109375
235,2459847.5423326353,45452.89453125
236,2459848.0353529505,32378.677734375
237,2459848.527844756,26887.298828125
238,2459849.025272404,39684.56640625
239,2459849.5166948,39651.75390625
240,2459850.017411437,44341.984375
241,2459850.5118721025,44645.73828125
242,2459850.6874855976,37218.42578125
243,2459851.0077428864,30496.9453125
244,2459851.497363527,35480.67578125
245,2459851.5036688205,35602.08203125
246,2459851.999288761,114782.453125
247,2459852.0045525376,117961.5078125
248,2459852.5582242645,49053.63671875
249,2459852.7747453772,57547.20703125
250,2459852.8108541425,86002.8515625
251,2459852.858805386,62698.12109375
252,2459852.9373479905,53565.8671875
253,2459852.986593225,66012.015625
254,2459855.015391436,58336.5859375
255,2459855.075191319,84357.828125
256,2459855.109784205,124524.0
257,2459855.145172378,110265.5234375
258,2459855.306260745,133024.171875
259,2459855.426111375,91746.6875
260,2459855.7014600122,73176.75
261,2459855.814829353,100228.4921875
262,2459855.841584407,76690.59375
263,2459856.1575385327,122456.3203125
264,2459856.5338565814,90389.34375
265,2459856.5436998946,60979.66796875
266,2459857.021214396,48342.0625
267,2459857.1565258172,52604.93359375
268,2459859.9956078175,78303.171875
269,2459860.000823018,69263.984375
270,2459860.4886697205,35524.4609375
271,2459860.9344673594,33123.40234375
272,2459861.0499194106,29676.666015625
273,2459861.1473413347,30007.154296875
274,2459861.570943388,38633.58203125
275,2459861.602965928,45851.375
276,2459861.6267702803,44042.921875
277,2459862.9080263055,28743.19140625
278,2459862.9183049104,37326.51953125
279,2459863.7764351913,30240.20703125
280,2459863.944892746,45426.4609375
281,2459864.1892421343,40180.3359375
282,2459864.2464021817,36159.5546875
283,2459864.2604961735,63341.9296875
284,2459864.6493419725,26212.794921875
285,2459865.475405885,26418.091796875
286,2459865.95572997,24140.525390625
287,2459865.964222579,24100.724609375
